county_fips,dt,county_name,icu_beds_in_use_covid_confirmed,ventilators_in_use_any,ventilators_in_use_covid_total,hospital_beds_capacity_count,negative_tests_total,ventilators_in_use_covid_confirmed,ventilators_in_use_covid_suspected,deaths_confirmed,positive_tests_total,icu_beds_capacity_count,icu_beds_in_use_covid_total,cases_total,hospital_beds_in_use_covid_confirmed,hospital_beds_in_use_covid_suspected,hospital_beds_in_use_any,ventilators_capacity_count,cases_suspected,active_total,deaths_suspected,cases_confirmed,hospital_beds_in_use_covid_new,recovered_total,icu_beds_in_use_covid_suspected,tests_total,hospital_beds_in_use_covid_total,icu_beds_in_use_any,deaths_total
01001,2020-04-22,Autauga,,,,,,,,,,,,32.0,,,,,,,,,,,,33.0,,,1.0
01003,2020-04-22,Baldwin,,,,,,,,,,,,132.0,,,,,,,,,,,,76.0,,,2.0
01005,2020-04-22,Barbour,,,,,,,,,,,,29.0,,,,,,,,,,,,6.0,,,0.0
01007,2020-04-22,Bibb,,,,,,,,,,,,33.0,,,,,,,,,,,,10.0,,,0.0
01009,2020-04-22,Blount,,,,,,,,,,,,29.0,,,,,,,,,,,,41.0,,,0.0
01011,2020-04-22,Bullock,,,,,,,,,,,,11.0,,,,,,,,,,,,9.0,,,0.0
01013,2020-04-22,Butler,,,,,,,,,,,,17.0,,,,,,,,,,,,9.0,,,0.0
01015,2020-04-22,Calhoun,,,,,,,,,,,,85.0,,,,,,,,,,,,25.0,,,3.0
01017,2020-04-22,Chambers,,,,,,,,,,,,270.0,,,,,,,,,,,,60.0,,,16.0
01019,2020-04-22,Cherokee,,,,,,,,,,,,12.0,,,,,,,,,,,,8.0,,,0.0
01021,2020-04-22,Chilton,,,,,,,,,,,,46.0,,,,,,,,,,,,23.0,,,0.0
01023,2020-04-22,Choctaw,,,,,,,,,,,,21.0,,,,,,,,,,,,3.0,,,0.0
01025,2020-04-22,Clarke,,,,,,,,,,,,24.0,,,,,,,,,,,,13.0,,,1.0
01027,2020-04-22,Clay,,,,,,,,,,,,19.0,,,,,,,,,,,,47.0,,,0.0
01029,2020-04-22,Cleburne,,,,,,,,,,,,12.0,,,,,,,,,,,,2.0,,,1.0
01031,2020-04-22,Coffee,,,,,,,,,,,,73.0,,,,,,,,,,,,94.0,,,0.0
01033,2020-04-22,Colbert,,,,,,,,,,,,20.0,,,,,,,,,,,,55.0,,,1.0
01035,2020-04-22,Conecuh,,,,,,,,,,,,9.0,,,,,,,,,,,,4.0,,,0.0
01037,2020-04-22,Coosa,,,,,,,,,,,,24.0,,,,,,,,,,,,4.0,,,1.0
01039,2020-04-22,Covington,,,,,,,,,,,,27.0,,,,,,,,,,,,16.0,,,0.0
01041,2020-04-22,Crenshaw,,,,,,,,,,,,6.0,,,,,,,,,,,,4.0,,,0.0
01043,2020-04-22,Cullman,,,,,,,,,,,,44.0,,,,,,,,,,,,68.0,,,0.0
01045,2020-04-22,Dale,,,,,,,,,,,,22.0,,,,,,,,,,,,3.0,,,0.0
01047,2020-04-22,Dallas,,,,,,,,,,,,29.0,,,,,,,,,,,,35.0,,,2.0
01049,2020-04-22,DeKalb,,,,,,,,,,,,58.0,,,,,,,,,,,,,,,2.0
01051,2020-04-22,Elmore,,,,,,,,,,,,74.0,,,,,,,,,,,,96.0,,,1.0
01053,2020-04-22,Escambia,,,,,,,,,,,,18.0,,,,,,,,,,,,18.0,,,1.0
01055,2020-04-22,Etowah,,,,,,,,,,,,116.0,,,,,,,,,,,,1.0,,,8.0
01057,2020-04-22,Fayette,,,,,,,,,,,,4.0,,,,,,,,,,,,5.0,,,0.0
01059,2020-04-22,Franklin,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,
01061,2020-04-21,Geneva,,,,,,,,,,,,4.0,,,,,,,,,,,,12.0,,,0.0
01063,2020-04-21,Greene,,,,,,,,,,,,32.0,,,,,,,,,,,,9.0,,,0.0
01065,2020-04-21,Hale,,,,,,,,,,,,34.0,,,,,,,,,,,,31.0,,,0.0
01067,2020-04-21,Henry,,,,,,,,,,,,20.0,,,,,,,,,,,,11.0,,,0.0
01069,2020-04-21,Houston,,,,,,,,,,,,73.0,,,,,,,,,,,,29.0,,,2.0
01071,2020-04-21,Jackson,,,,,,,,,,,,41.0,,,,,,,,,,,,12.0,,,2.0
01073,2020-04-21,Jefferson,,,,,,,,,,,,700.0,,,,,,,,,,,,259.0,,,16.0
01075,2020-04-21,Lamar,,,,,,,,,,,,8.0,,,,,,,,,,,,18.0,,,0.0
01077,2020-04-21,Lauderdale,,,,,,,,,,,,25.0,,,,,,,,,,,,57.0,,,2.0
01079,2020-04-21,Lawrence,,,,,,,,,,,,10.0,,,,,,,,,,,,11.0,,,0.0
01081,2020-04-21,Lee,,,,,,,,,,,,319.0,,,,,,,,,,,,233.0,,,14.0
01083,2020-04-21,Limestone,,,,,,,,,,,,38.0,,,,,,,,,,,,247.0,,,0.0
01085,2020-04-21,Lowndes,,,,,,,,,,,,32.0,,,,,,,,,,,,2.0,,,0.0
01087,2020-04-21,Macon,,,,,,,,,,,,27.0,,,,,,,,,,,,21.0,,,2.0
01089,2020-04-21,Madison,,,,,,,,,,,,202.0,,,,,,,,,,,,193.0,,,4.0
01091,2020-04-21,Marengo,,,,,,,,,,,,35.0,,,,,,,,,,,,31.0,,,2.0
01093,2020-04-21,Marion,,,,,,,,,,,,65.0,,,,,,,,,,,,10.0,,,5.0
01095,2020-04-21,Marshall,,,,,,,,,,,,195.0,,,,,,,,,,,,61.0,,,3.0
01097,2020-04-21,Mobile,,,,,,,,,,,,721.0,,,,,,,,,,,,88.0,,,28.0
01099,2020-04-21,Monroe,,,,,,,,,,,,9.0,,,,,,,,,,,,30.0,,,1.0
01101,2020-04-21,Montgomery,,,,,,,,,,,,245.0,,,,,,,,,,,,57.0,,,3.0
01103,2020-04-21,Morgan,,,,,,,,,,,,50.0,,,,,,,,,,,,16.0,,,0.0
01105,2020-04-21,Perry,,,,,,,,,,,,9.0,,,,,,,,,,,,19.0,,,0.0
01107,2020-04-21,Pickens,,,,,,,,,,,,42.0,,,,,,,,,,,,1.0,,,0.0
01109,2020-04-21,Pike,,,,,,,,,,,,46.0,,,,,,,,,,,,20.0,,,0.0
01111,2020-04-21,Randolph,,,,,,,,,,,,58.0,,,,,,,,,,,,12.0,,,3.0
01113,2020-04-21,Russell,,,,,,,,,,,,48.0,,,,,,,,,,,,9.0,,,0.0
01115,2020-04-21,St. Clair,,,,,,,,,,,,59.0,,,,,,,,,,,,110.0,,,0.0
01117,2020-04-21,Shelby,,,,,,,,,,,,274.0,,,,,,,,,,,,177.0,,,6.0
01119,2020-04-21,Sumter,,,,,,,,,,,,44.0,,,,,,,,,,,,23.0,,,0.0
01121,2020-04-21,Talladega,,,,,,,,,,,,50.0,,,,,,,,,,,,21.0,,,2.0
01123,2020-04-21,Tallapoosa,,,,,,,,,,,,228.0,,,,,,,,,,,,61.0,,,11.0
01125,2020-04-21,Tuscaloosa,,,,,,,,,,,,157.0,,,,,,,,,,,,98.0,,,0.0
01127,2020-04-21,Walker,,,,,,,,,,,,89.0,,,,,,,,,,,,10.0,,,0.0
01129,2020-04-21,Washington,,,,,,,,,,,,17.0,,,,,,,,,,,,4.0,,,1.0
01131,2020-04-21,Wilcox,,,,,,,,,,,,49.0,,,,,,,,,,,,5.0,,,0.0
01133,2020-04-21,Winston,,,,,,,,,,,,10.0,,,,,,,,,,,,8.0,,,0.0
02013,2020-04-21,Aleutians East,,,,,114.0,,,,0.0,,,0.0,,,,,,,,,,,,114.0,,,0.0
02016,2020-04-21,Aleutians West,,,,,23.0,,,,0.0,,,0.0,,,,,,,,,,,,23.0,,,0.0
02020,2020-04-21,Anchorage,,,,,8403.0,,,,188.0,,,160.0,,,,,,,,,,,,8598.0,,,4.0
02050,2020-04-21,Bethel,,,,,302.0,,,,1.0,,,1.0,,,,,,,,,,,,304.0,,,0.0
02060,2020-04-21,Bristol Bay,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0
02068,2020-04-21,Denali,,,,,1.0,,,,0.0,,,0.0,,,,,,,,,,,,1.0,,,0.0
02070,2020-04-21,Dillingham,,,,,24.0,,,,0.0,,,0.0,,,,,,,,,,,,24.0,,,0.0
02090,2020-04-21,Fairbanks North Star,,,,,2802.0,,,,90.0,,,79.0,,,,,,,,,,,,2895.0,,,2.0
02100,2020-04-21,Haines,,,,,38.0,,,,0.0,,,0.0,,,,,,,,,,,,38.0,,,0.0
02105,2020-04-21,Hoonah-Angoon,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0
02110,2020-04-21,Juneau,,,,,880.0,,,,37.0,,,26.0,,,,,,,,,,,,918.0,,,0.0
02122,2020-04-21,Kenai Peninsula,,,,,675.0,,,,7.0,,,19.0,,,,,,,,,,,,683.0,,,1.0
02130,2020-04-21,Ketchikan Gateway,,,,,245.0,,,,14.0,,,16.0,,,,,,,,,,,,259.0,,,0.0
02150,2020-04-21,Kodiak Island,,,,,217.0,,,,0.0,,,1.0,,,,,,,,,,,,218.0,,,0.0
